name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
The Donkey Family,1,0.11,3.03,0.19,1,0.19,14,33.0
Alpha Draconis NFT,1,0.11,1.89,0.4,1,0.4,33,53.0
OnChainWomen,2,0.22,10.32,0.0,487,0.0,419,4721.0
Eyes Of Fashion VIP Muse,1,0.11,25.0,0.0,1,0.0,4,4.0
Lucky Foo Dogs NFT,4,0.43,0.5,0.01,10,0.1,655,2000.0
Fresco Trey X Budweiser Royalty,3,0.32,0.88,0.06,4,0.24,343,455.0
Vibe Apes,2,0.22,15.05,0.03,31,0.9299999999999999,37,206.0
Ski Friends,1,0.11,0.3,0.02,1,0.02,194,338.0
Love of Lamp,1,0.11,0.78,2.75,1,2.75,50,129.0
VEEDAO WGMI,2,0.22,0.8,0.03,8,0.24,357,1000.0
Doxxed Bozo aka Beaniemaxi,1,0.11,7.14,0.01,1,0.01,5,14.0
SUPERPLASTIC:  Headtripz Pillz,23,2.48,800.0,0.08,24,1.92,1827,3.0
ETH Burgers,1,0.11,0.04,0.0,1,0.0,586,2506.0
MadisonDAO,1,0.11,0.15,8e-05,1,8e-05,147,657.0
BelleDAOphine,1,0.11,0.13,0.002,1,0.002,197,784.0
larva frens nft,3,0.32,0.38,0.0,17,0.0,922,4506.0
Mirrored Cats,2,0.22,0.44,0.0,4,0.0,152,908.0
The Phoodles Official,1,0.11,1.28,0.01,8,0.08,159,626.0
PhantaDoodles,4,0.43,0.22,0.0,11,0.0,1438,5000.0
Metaverse Pioneers NFT,1,0.11,14.29,5.0,2,10.0,8,14.0
IlluminatiNFT Illuminaries,3,0.32,10.71,1.3,3,3.9000000000000004,25,28.0
The Ape Mutant Club,1,0.11,0.19,0.04,1,0.04,21,532.0
suPPhunks,1,0.11,0.12,0.01,1,0.01,275,834.0
alien frens lab,1,0.11,1.0,0.3,1,0.3,2,100.0
Puzzle People Genesis,2,0.22,0.4,0.01,2,0.02,202,500.0
Origin - By Nava Twizer,1,0.11,11.11,10.0,1,10.0,6,9.0
BORED PHAYC,1,0.11,1.11,0.011,1,0.011,6,90.0
robotfrens,1,0.11,4.55,0.04,1,0.04,2,22.0
Dance in the Darkness by Jessica Artemisia,1,0.11,3.7,0.01,1,0.01,26,27.0
Cool Ape Club Official,2,0.22,0.27,0.01,15,0.15,2577,5555.0
Shaq Gives Back,13,1.4,0.9,0.01,90,0.9,5361,10000.0
NFT Don ETH,1,0.11,9.09,0.02,1,0.02,7,11.0
The Dabber Jones Genesis Collection,1,0.11,1.04,0.4,1,0.4,28,96.0
Pixel Football Teams,1,0.11,1.56,0.05,1,0.05,3,64.0
Secret Frog,4,0.43,6.51,0.01,134,1.34,467,2058.0
GoriByte,1,0.11,1.01,0.02,1,0.02,66,99.0
Dick Doods Official,3,0.32,0.38,0.0,4,0.0,215,1057.0
Official Nexia Prime,1,0.11,2.38,0.01,1,0.01,20,42.0
Keep Watch Crew,4,0.43,0.39,0.03,5,0.15,689,1269.0
Extinction of colours,2,0.22,50.0,0.01,2,0.02,3,4.0
Tree Gifs - Official,1,0.11,1.75,0.0,1,0.0,22,57.0
The Panther NFTs,1,0.11,0.85,0.05,1,0.05,39,118.0
Generative Dungeon,8,0.86,0.43,0.33,13,4.29,1799,3000.0
Pixel Sports Legends,1,0.11,1.92,0.0,1,0.0,37,52.0
MushyBaras,4,0.43,4.11,0.02,39,0.78,203,948.0
Home Turf,1,0.11,5.0,0.0,1,0.0,2,20.0
Dope Dogs Game,2,0.22,5.7,0.01,212,2.12,243,3717.0
Cool Stick Guy Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Astro Apes Official,2,0.22,0.21,0.02,2,0.04,378,946.0
DeadHeads Skull Troopers,10,1.08,0.61,0.03,51,1.53,2058,8323.0
Norfilas Collection,1,0.11,9.09,0.05,1,0.05,7,11.0
Isekai The Avatar,2,0.22,0.48,0.03,3,0.09,194,630.0
Omnipotent Genesis,1,0.11,33.33,0.25,2,0.5,4,6.0
The Little Pigs,1,0.11,0.45,0.06,1,0.06,37,224.0
PunkFriends,1,0.11,0.85,0.04,1,0.04,40,118.0
Lil BabyPunks,4,0.43,0.25,0.0,12,0.0,2263,4850.0
Sussy Sharks,1,0.11,0.1,0.06,1,0.06,458,1000.0
Gavin's World,1,0.11,16.67,0.38,1,0.38,9,6.0
Drawn by Fear,1,0.11,11.11,0.5,1,0.5,9,9.0
pixelbeats Collection,1,0.11,12.5,0.8,1,0.8,3,8.0
TOKEN OF KINDNESS,1,0.11,1.03,0.14,1,0.14,73,97.0
Passion in Art,1,0.11,12.5,0.03,1,0.03,3,8.0
Premium Punks,2,0.22,2.11,1.0,3,3.0,21,142.0
MojoHeads Presale Passes,2,0.22,100.0,0.04,2,0.08,385,2.0
Crypto Doctors Official,1,0.11,0.08,0.0,1,0.0,479,1222.0
Lil Baby Doodles X,5,0.54,2.14,0.01,190,1.9000000000000001,3221,8896.0
Dainty Dolphin Collabs,1,0.11,16.67,0.0,1,0.0,6,6.0
Murder art,1,0.11,9.68,0.15,6,0.8999999999999999,23,62.0
The Kyoto 3088 Collection,2,0.22,1.12,0.03,10,0.3,441,894.0
GIGA JAK by JakNFT,1,0.11,8.0,0.65,2,1.3,21,25.0
Pixel Ghosts Genesis,1,0.11,0.0,0.0,0,0.0,0,0.0
OBSESSED with World of Women,1,0.11,5.77,0.25,3,0.75,30,52.0
LGND,7,0.75,0.49,0.07,11,0.77,642,2230.0
Baby Alien Invasion Club,3,0.32,9.59,0.04,26,1.04,53,271.0
Spooky Cats DAO,2,0.22,5.18,0.02,17,0.34,84,328.0
AiCats,2,0.22,9.41,0.45,45,20.25,79,478.0
ChibiKaiju,1,0.11,5.1,0.04,13,0.52,39,255.0
Football Punks NFT,1,0.11,3.12,0.1,1,0.1,4,32.0
UniverseOfWomen,5,0.54,12.02,0.0,966,0.0,1083,8037.0
The Shark Mob,3,0.32,5.0,0.01,150,1.5,1206,3000.0
MekaCats,5,0.54,1.47,0.0,47,0.0,398,3203.0
Little Pengus,4,0.43,1.68,0.0,16,0.0,259,950.0
Halloween Bears,5,0.54,3.61,0.0,90,0.0,264,2496.0
NugLyfe,1,0.11,11.36,0.0,5,0.0,7,44.0
STARCATS NFT,4,0.43,0.6,0.29,9,2.61,982,1512.0
TheTransformer,1,0.11,2.0,0.01,10,0.1,185,500.0
HalloweenBears,1,0.11,0.06,0.0,6,0.0,2500,10000.0
GameCats,5,0.54,1.38,0.01,161,1.61,878,11708.0
OnChainBots,1,0.11,0.97,1.0,1,1.0,23,103.0
LIL HEAD BANGER BRO by JakNFT,1,0.11,10.0,0.45,2,0.9,18,20.0
orange lights,2,0.22,11.54,0.04,3,0.12,27,26.0
"The Cute, the Weird & the Creepy",2,0.22,80.0,0.5,8,4.0,60,10.0
Space Bugs,1,0.11,0.03,0.04,1,0.04,774,3333.0
Koi Boi NFT,4,0.43,1.0,0.0,16,0.0,349,1608.0
Mirror Cats NFT,2,0.22,6.45,0.01,8,0.08,52,124.0
Green Utopia on Planet Earth,1,0.11,2.86,0.03,1,0.03,2,35.0
Money Mules,4,0.43,2.57,0.02,28,0.56,277,1090.0
Little Bois,1,0.11,3.23,0.03,1,0.03,14,31.0
Evil Elves Club,3,0.32,0.36,0.0,7,0.0,705,1927.0
Swimmy Sharks,5,0.54,4.81,0.07,132,9.24,359,2742.0
po10kdan2k9mz-232ea,1,0.11,2.04,0.08,1,0.08,22,49.0
OnChainCat,7,0.75,2.99,0.01,284,2.84,856,9499.0
Nonconformist Ducks,1,0.11,0.01,0.04,1,0.04,1987,10000.0
Dapper Dinos Collabs,1,0.11,8.33,0.01,1,0.01,5853,12.0
Trick or NFT,3,0.32,3.99,0.06,268,16.08,465,6722.0
KBOT_FACTORY,5,0.54,1.85,0.0,74,0.0,870,3999.0
Bizarros,2,0.22,0.24,0.09,2,0.18,278,847.0
Colorful Abstract Art NFT,1,0.11,11.11,25.0,1,25.0,2,9.0
Bold and Brash Club,4,0.43,7.57,0.0,198,0.0,528,2616.0
ThePlops,2,0.22,1.49,0.0,33,0.0,339,2222.0
My Little Orphan,6,0.65,2.93,0.01,114,1.1400000000000001,623,3887.0
Petri Collection,1,0.11,0.27,0.01,3,0.03,359,1115.0
Lucky Treasure,1,0.11,0.23,0.01,2,0.02,314,888.0
777 Deadly Sins,1,0.11,1.54,0.05,2,0.1,64,130.0
Chaos Blocks,2,0.22,10.49,0.02,41,0.8200000000000001,79,391.0
Baby Dino Club,4,0.43,4.51,0.0,198,0.0,672,4395.0
The Doggos,2,0.22,0.38,0.0,3,0.0,257,787.0
You are the Universe,1,0.11,22.22,0.45,2,0.9,15,9.0
Pixel Pumpkins Club,1,0.11,12.0,0.03,3,0.09,14,25.0
Varvara Alay,3,0.32,16.13,0.11,5,0.55,244,31.0
Joyful Naivety,1,0.11,35.71,0.05,5,0.25,5,14.0
Riot Revenge,1,0.11,5.88,0.37,1,0.37,11,17.0
Official Blockchain Memorabilia,1,0.11,2.5,0.08,1,0.08,7,40.0
Citizen of Citadel,1,0.11,3.23,7.0,1,7.0,23,31.0
MultiNFT,2,0.22,0.5,0.12,2,0.24,154,400.0
TheCryptoes,3,0.32,11.4,0.0,734,0.0,607,6441.0
Horny Hogs,1,0.11,1.54,0.01,1,0.01,35,65.0
Minimalz,1,0.11,4.0,0.025,3,0.07500000000000001,2,75.0
METAVERSE BRIDGE CODEX: PHASE 1,1,0.11,42.86,0.02,3,0.06,22,7.0
Study of lines,2,0.22,5.41,0.0,22,0.0,149,407.0
.00002,1,0.11,100.0,0.0002,1,0.0002,4,1.0
Pokey: Season 2 & 3,1,0.11,2.5,0.4,1,0.4,30,40.0
Pudgy Pixel Gang,1,0.11,0.01,0.01,1,0.01,305,8780.0
APPRECIATION TOKENS,1,0.11,33.33,0.0,1,0.0,3,3.0
Vivid Memories,1,0.11,5.0,0.02,2,0.04,6,40.0
One Year NFT,3,0.32,1.92,0.1,7,0.7000000000000001,156,365.0
Elusive,1,0.11,2.0,0.02,1,0.02,36,50.0
emoshuns,4,0.43,0.92,0.0,46,0.0,879,5000.0
Text messages,1,0.11,1.89,1.0,2,2.0,16,106.0
Colorful NFT World by Irem Bozatak,1,0.11,3.12,0.05,1,0.05,18,32.0
Retro Ballers,1,0.11,3.12,0.0,1,0.0,2,32.0
The Mad Lads,3,0.32,14.05,0.01,496,4.96,546,3531.0
Pareidolia NFT,1,0.11,3.45,0.21,1,0.21,15,29.0
alopeciapals,1,0.11,7.14,0.1,1,0.1,8,14.0
Episode1,1,0.11,2.27,0.08,1,0.08,2,44.0
His First NFT,1,0.11,100.0,0.0,1,0.0,1,1.0
Degen Dinos GC,1,0.11,1.28,0.0,6,0.0,241,469.0
Hold your breath. Make a wish. Count to three.,3,0.32,20.0,2.0,4,8.0,28,20.0
[DEPRECATED] V3,4,0.43,0.7,0.01,5,0.05,180,713.0
Forest Moments,1,0.11,37.5,0.32,3,0.96,127,8.0
NFT NYC Party - Nov 3rd,1,0.11,50.0,0.1,1,0.1,3,2.0
The Sides,1,0.11,0.2,0.02,1,0.02,11,500.0
SHEZ PEIISM VOL. 1,1,0.11,3.23,1.42,1,1.42,31,31.0
Chic-A-Dees,2,0.22,0.43,0.0,3,0.0,178,705.0
Invader Academy,3,0.32,4.74,0.0,38,0.0,347,801.0
PopsiclePals,2,0.22,9.09,0.14,3,0.42000000000000004,26,33.0
BALC,1,0.11,0.35,0.0,11,0.0,787,3111.0
HilariousHuskies,2,0.22,0.78,0.02,2,0.04,99,255.0
Uncanny Unicorns,9,0.97,1.96,0.0,70,0.0,1192,3578.0
MetaHero Universe: Generative Identities,6,0.65,0.09,4.77,6,28.619999999999997,258,6659.0
whoami (t3rm.dev),1,0.11,0.91,0.0,1,0.0,88,110.0
Disjunction,1,0.11,25.0,0.05,2,0.1,2,8.0
Cruddy Clown Club,2,0.22,20.0,0.03,4,0.12,42,20.0
The KittyButts SuperSelection,1,0.11,14.29,0.18,1,0.18,7,7.0
Generative Sapiens,1,0.11,7.27,0.35,4,1.4,26,55.0
Long Neckie Fellas,3,0.32,0.48,0.04,16,0.64,1412,3333.0
The Creature Swole'd,3,0.32,7.27,0.1,4,0.4,47,55.0
Honorary Space Punks,1,0.11,8.33,0.0,1,0.0,11,12.0
dummy-project,1,0.11,1.18,0.1,1,0.1,2,85.0
Adventurers (for Loot),1,0.11,1.01,0.0,1,0.0,15,99.0
Fvck Fiat,1,0.11,10.0,0.04,2,0.08,3,20.0
HACKEDACCOUNTOriginal Derivatives,1,0.11,33.33,0.01,1,0.01,3,3.0
CertifiedLoverBoyDrake,1,0.11,7.69,0.1,1,0.1,2,13.0
ToonSnacks,1,0.11,5.56,0.0,1,0.0,2,18.0
1024 Pixels,3,0.32,1.94,0.04,9,0.36,196,463.0
Big Brain Cat Society,2,0.22,0.73,0.0,14,0.0,909,1905.0
Kongz Citadel,1,0.11,1.45,0.04,1,0.04,28,69.0
Moon Rockz,1,0.11,3.57,0.04,1,0.04,6,28.0
Cyber 0N1 Force,1,0.11,3.06,0.02,3,0.06,12,98.0
Creature World NFT Graffiti,1,0.11,16.67,0.0,1,0.0,6,6.0
All Around Artsy,2,0.22,5.71,0.2,2,0.4,83,35.0
XPUNK'S',1,0.11,1.67,1.0,1,1.0,23,60.0
Planet Zero,1,0.11,0.9,0.09,2,0.18,99,221.0
Halo Collection,1,0.11,4.29,0.01,3,0.03,19,70.0
Alpacalaca,1,0.11,9.09,0.2,1,0.2,3,11.0
YX ART LABS,1,0.11,0.4,0.06,1,0.06,11,252.0
Echo Fragments,1,0.11,3.12,0.1,1,0.1,14,32.0
Randobots,1,0.11,0.67,0.05,1,0.05,18,150.0
Dog Rescue Shelter,1,0.11,2.27,0.08,1,0.08,12,44.0
Memories of Eden,1,0.11,3.85,0.25,1,0.25,2,26.0
Dumpling Gang,1,0.11,2.63,0.01,1,0.01,30,38.0
Ratkus,1,0.11,2.0,0.02,1,0.02,11,50.0
XSKULL,1,0.11,10.0,0.01,1,0.01,10,10.0
Spread of the virus,1,0.11,2.22,0.04,1,0.04,21,45.0
Bored Mummy Baby Waking Up,2,0.22,0.18,0.02,7,0.14,2552,3888.0
The Color Series,1,0.11,2.0,0.1,1,0.1,20,50.0
Little Punks NFT,1,0.11,0.76,0.05,1,0.05,57,131.0
RedChips,1,0.11,0.95,1.0,1,1.0,73,105.0
Aurora Nova,1,0.11,8.33,0.08,2,0.16,17,24.0
Film World,1,0.11,7.69,0.015,1,0.015,2,13.0
Quarantine Originals,2,0.22,14.29,0.08,2,0.16,9,14.0
Dreamcrux,1,0.11,1.28,0.02,3,0.06,102,235.0
I Live Here Now,1,0.11,1.0,2.0,1,2.0,63,100.0
Balloon Knots,1,0.11,1.45,0.02,1,0.02,38,69.0
Happyboys,1,0.11,1.0,0.1,1,0.1,52,100.0
Africas Wild Pleasures,1,0.11,7.14,0.04,1,0.04,5,14.0
Unapologetic Simplicity,1,0.11,45.95,0.01,34,0.34,21,74.0
SL4TE,1,0.11,6.67,0.01,1,0.01,3,15.0
Budget Punks,1,0.11,4.0,0.79,4,3.16,51,100.0
Fast Food Doge,1,0.11,0.3,0.01,1,0.01,28,330.0
CRAZY BONGS,1,0.11,0.48,0.01,2,0.02,139,421.0
Fritz Verse,1,0.11,0.22,0.02,1,0.02,25,460.0
Wolf Club 86,1,0.11,0.07,0.01,1,0.01,617,1484.0
NFFurries.io,1,0.11,7.14,2.69,1,2.69,8,14.0
Just bread.,1,0.11,0.26,0.01,1,0.01,185,383.0
Kfish,1,0.11,16.67,5.21,1,5.21,5,6.0
Sneaky SneKs,1,0.11,0.94,0.15,1,0.15,106,106.0
StickyNFT V2,2,0.22,3.85,0.05,4,0.2,47,104.0
Dandy Ducks Club,1,0.11,0.35,0.01,3,0.03,417,850.0
CHIBI DINOS,6,0.65,0.45,0.1,45,4.5,3194,10000.0
TheVegFriends,1,0.11,11.11,0.07,1,0.07,2,9.0
Jets Football Ceramics,1,0.11,100.0,0.03,1,0.03,3,1.0
Complimentary Co-Existence,1,0.11,35.9,0.05,28,1.4000000000000001,24,78.0
WTF CUBES,1,0.11,0.17,0.01,1,0.01,274,601.0
TATTOADS NFT,1,0.11,1.79,0.01,1,0.01,10,56.0
Mister G presents,1,0.11,20.0,0.0,1,0.0,5,5.0
Fan Futures,1,0.11,3.12,0.04,1,0.04,34,32.0
Pickle  Punks,1,0.11,0.99,0.009,1,0.009,22,101.0
GreyBae,1,0.11,1.89,0.07,1,0.07,37,53.0
Mad Banana Union,5,0.54,4.12,0.01,287,2.87,2307,6969.0
Salt Meme,1,0.11,11.11,0.05,1,0.05,7,9.0
Deadbears Official,2,0.22,0.08,0.0,8,0.0,2281,10000.0
Moments of chance,1,0.11,11.11,0.05,1,0.05,4,9.0
StreetDucks,1,0.11,50.0,0.004,1,0.004,2,2.0
AlphaBetty Legends,1,0.11,4.17,100.0,1,100.0,24,24.0
Mallows BYOA,3,0.32,0.15,0.01,4,0.04,484,2686.0
Pokey Genesis,1,0.11,2.47,0.4,2,0.8,61,81.0
Original Crypto Birdie,1,0.11,0.52,0.11,1,0.11,53,192.0
Kings of Stardust,1,0.11,1.43,0.1,1,0.1,11,70.0
Fancy Penguin,1,0.11,0.3,0.02,1,0.02,15,330.0
CryptoCatLords,1,0.11,1.69,0.07,1,0.07,2,59.0
PIXZLE ICONS,1,0.11,7.69,0.04,1,0.04,3,13.0
GRAVEL,2,0.22,0.08,0.01,2,0.02,994,2500.0
HBizzle Moments,1,0.11,25.0,0.0,1,0.0,4,4.0
RJD PHOTOGRAPHY NFTs,1,0.11,2.04,0.09,1,0.09,66,49.0
Glue Factory Show,9,0.97,0.44,0.01,44,0.44,3508,10000.0
NFT Sprites V3,1,0.11,3.28,7.0,2,14.0,49,61.0
HBizzle Collection,1,0.11,0.65,0.0,1,0.0,47,153.0
Bored Mummy Waking Up,2,0.22,0.36,0.04,32,1.28,3659,8888.0
Der Wolf,1,0.11,6.67,3.0,2,6.0,20,30.0
Ruben Big Q,2,0.22,12.5,0.06,4,0.24,111,32.0
Taped,1,0.11,4.17,0.15,1,0.15,19,24.0
Tired Turtle,1,0.11,0.65,0.05,1,0.05,48,155.0
skatekids lipstick,1,0.11,0.92,0.05,1,0.05,64,109.0
Animated PunkBabies,1,0.11,2.03,0.01,4,0.04,94,197.0
MUMBOT WORLD,2,0.22,52.94,0.99,9,8.91,98,17.0
Skylings Genesis,1,0.11,100.0,0.0,1,0.0,1,1.0
Clueless Colors,1,0.11,1.82,0.02,1,0.02,7,55.0
WE MEME BUSINESS,1,0.11,3.12,0.02,1,0.02,106,32.0
BIG BUCKS,3,0.32,0.34,0.04,3,0.12,363,888.0
Mermaid Gang,1,0.11,0.11,0.02,1,0.02,491,871.0
Boobcasso,2,0.22,2.6,0.03,2,0.06,29,77.0
The Bit Dogs,1,0.11,0.14,0.02,1,0.02,10,721.0
Tom Sachs: Rocket Factory - Components,10,1.08,3.08,2.27,31,70.37,243,1008.0
Dommies,1,0.11,0.27,0.0,3,0.0,258,1092.0
MugLife NFT,1,0.11,0.18,0.05,1,0.05,58,552.0
Crypto Cannabis Club,9,0.97,0.31,0.2,31,6.2,4456,10000.0
The KittyButts,2,0.22,0.04,0.01,4,0.04,2746,10000.0
Cash Grab NFT,2,0.22,0.07,0.01,4,0.04,1008,5608.0
MoonMonkeys,1,0.11,1.56,0.02,4,0.08,150,256.0
Augmented Reality Collection,1,0.11,1.01,2.0,1,2.0,23,99.0
Soundscapes by Bobby Yaps,1,0.11,53.33,0.02,8,0.16,52,15.0
The Impossible Creatures,5,0.54,6.39,0.4,17,6.800000000000001,117,266.0
Circle Cool Cats,2,0.22,3.0,1.5,3,4.5,12,100.0
BRAiN VOMiTS DiGiTAL WORLD,3,0.32,13.95,1.4,6,8.399999999999999,30,43.0
7 Deadly Sweets,1,0.11,2.0,0.04,1,0.04,7,50.0
Sorcerer Scholarship Submission Essay,1,0.11,100.0,0.0,1,0.0,1,1.0
Zoltar's Fortune,2,0.22,0.36,0.02,3,0.06,133,831.0
WannaBe Sorcerer,1,0.11,50.0,0.28,1,0.28,51,2.0
The Sirius Mystery,1,0.11,14.29,0.1,1,0.1,4,7.0
Net Gala,2,0.22,75.0,0.02,3,0.06,528,4.0
Sorcerer Scholarship,1,0.11,100.0,0.0,1,0.0,2,1.0
Street Visions,1,0.11,21.43,0.001,3,0.003,2,14.0
Cutiebears,1,0.11,0.14,0.04,1,0.04,166,719.0
PhotoCritters,1,0.11,9.09,0.01,1,0.01,3,11.0
FameLadySquad,11,1.19,0.57,0.16,51,8.16,3873,8887.0
Hola Baddies,4,0.43,3.17,0.01,24,0.24,329,756.0
Droshik Original Giveaways,1,0.11,7.69,0.99,1,0.99,19,13.0
Banff Aliens,1,0.11,1.96,0.2,1,0.2,43,51.0
Meeler's Creations,2,0.22,2.52,0.12,3,0.36,286,119.0
United Punks Union,2,0.22,0.19,0.01,7,0.07,1198,3627.0
SPACEMONKEY WORLD,1,0.11,5.56,0.22,1,0.22,81,18.0
BRAiN VOMiT Collection,1,0.11,5.0,0.25,3,0.75,98,60.0
The Jellies Universe,1,0.11,1.15,0.019,1,0.019,15,87.0
The NFT City,1,0.11,0.26,0.06,1,0.06,81,391.0
AlphaBetty Doodles 26,1,0.11,3.85,0.5,1,0.5,22,26.0
STRAWBERRY.WTF,12,1.29,0.46,0.01,46,0.46,3355,9979.0
Bored to Death,3,0.32,300.0,10.0,3,30.0,95,1.0
LukasNicolino (fundraising for malnourished children collection),1,0.11,100.0,0.22,1,0.22,40,1.0
Compounds,1,0.11,1.39,0.02,2,0.04,35,144.0
Cool Cocks NFT,1,0.11,4.0,0.0,1,0.0,40,25.0
LukeBanderloftNFT,1,0.11,2.13,0.2,1,0.2,19,47.0
Super Yeti,20,2.16,0.67,0.08,67,5.36,4228,10000.0
Dreamloops,5,0.54,2.75,0.04,262,10.48,1946,9520.0
VectorBots,1,0.11,0.67,0.08,2,0.16,165,300.0
VeeFoes,1,0.11,3.08,0.02,6,0.12,71,195.0
The Gnome Trophy Race,1,0.11,9.09,0.0,1,0.0,273,11.0
KIU ART,2,0.22,0.19,0.0,3,0.0,215,1555.0
The Fuckles,1,0.11,0.53,0.19,2,0.38,96,377.0
Biscuit Club Characters,2,0.22,1.46,0.04,2,0.08,223,137.0
Crittlers,1,0.11,9.09,0.3,2,0.6,14,22.0
Eraseries,1,0.11,4.0,0.06,1,0.06,10,25.0
RealCryptoPunks by VT3.com,2,0.22,0.06,0.02,3,0.06,846,4997.0
Lucky Phantom Bunch,2,0.22,2.5,0.28,5,1.4000000000000001,93,200.0
Forest Musings,1,0.11,50.0,0.17,1,0.17,32,2.0
NFTeacups,1,0.11,2.65,0.09,3,0.27,73,113.0
CMPLX Bored Apes,2,0.22,11.9,0.8,5,4.0,101,42.0
CryptoQueen CQ-NFT (@rarible),1,0.11,100.0,0.05,1,0.05,5,1.0
CryptoQueen CQ-NFT (2021),1,0.11,1.85,0.05,1,0.05,13,54.0
Ksoids,5,0.54,1.7,0.16,17,2.72,238,1000.0
The Nice Ace WWI Yellow Scarf,1,0.11,9.09,0.2,1,0.2,2,11.0
White Magic,1,0.11,50.0,0.0169,1,0.0169,4,2.0
SNEEKRHEDZ,1,0.11,3.03,0.005,1,0.005,4,33.0
shatterglass,1,0.11,100.0,0.0,1,0.0,1,1.0
MoshPunks,1,0.11,2.17,0.38,1,0.38,15,46.0
HashBastards,2,0.22,0.26,0.12,2,0.24,280,760.0
Biden Reacts,1,0.11,5.56,0.03,1,0.03,2,18.0
Moon Protocol,4,0.43,36.84,0.39,7,2.73,140,19.0
3DChubbies+,1,0.11,1.22,0.02,1,0.02,50,82.0
GALANACCI: THE FIGHTER,1,0.11,1.35,0.1,1,0.1,14,74.0
Crypto Shit Club,1,0.11,0.32,0.01,1,0.01,39,311.0
LegoPunks,1,0.11,0.38,0.08,1,0.08,120,266.0
Cryptobennys,2,0.22,0.78,0.01,3,0.03,126,387.0
Snake Bits,1,0.11,0.45,0.0,1,0.0,21,222.0
Wrapped MoonCatsRescue - Unofficial,5,0.54,0.96,0.6,16,9.6,764,1661.0
elemeNFT V2,1,0.11,3.12,0.375,1,0.375,59,32.0
SUPERZEROS,1,0.11,4.0,0.75,1,0.75,11,25.0
CRYPTOKARENS 1000,1,0.11,0.19,0.1,1,0.1,113,520.0
Pixlton - The Awkward NFT Town,5,0.54,0.38,0.08,21,1.68,1635,5468.0
Soperd,1,0.11,1.12,0.05,1,0.05,10,89.0
BitAliens,2,0.22,0.27,0.01,5,0.05,786,1869.0
Long neckie Originals,1,0.11,1.0,2.15,1,2.15,65,100.0
Crypto-Collectible Figurines,1,0.11,0.35,0.01,1,0.01,95,288.0
101 BABES,1,0.11,3.57,0.5,1,0.5,25,28.0
Sara Baumann,2,0.22,33.33,8.88,5,44.400000000000006,11,15.0
Dino Duel,2,0.22,6.67,2.0,2,4.0,7,30.0
BitRomans,2,0.22,1.42,0.25,3,0.75,91,212.0
Blockchain Kicks,1,0.11,0.58,0.13,1,0.13,51,171.0
Alpaca City,1,0.11,0.0,0.01,1,0.01,1895,25440.0
Emblem Vault [Ethereum],15,1.62,0.3,0.02,76,1.52,5483,25449.0
Crypto Coins,1,0.11,2.86,1.0,1,1.0,26,35.0
GuldenGorillas,1,0.11,1.64,3.99,1,3.99,32,61.0
DappDonkeys,1,0.11,1.18,0.19,1,0.19,52,85.0
BitBulls,2,0.22,1.04,0.2,2,0.4,124,193.0
CryptoCows,2,0.22,0.6,0.08,3,0.24,274,500.0
LiteLlamas,1,0.11,0.65,0.2,1,0.2,80,153.0
Plasma Bears,9,0.97,3.06,0.3,46,13.799999999999999,640,1503.0
CryptoFighters,3,0.32,0.12,0.18,6,1.08,1343,4953.0
War Riders,1,0.11,0.01,0.01,1,0.01,1779,19403.0
Star Cards,1,0.11,0.12,0.05,1,0.05,86,808.0
Chainbreakers,1,0.11,0.03,0.07,1,0.07,1221,3687.0
Fan Controlled Football: The Ballerz Collective - 8OKI,5,0.54,0.29,0.05,12,0.6000000000000001,1099,4181.0
OmniFusion,4,0.43,0.57,0.01,5,0.05,443,881.0
Bears Deluxe,4,0.43,0.13,0.74,8,5.92,2651,6247.0
Fractional NFTs,4,0.43,14.29,0.0,5,0.0,456,35.0
Banana Hands,9,0.97,1.68,0.01,11,0.11,503,653.0
Mars Cats in Spacesuits,2,0.22,0.27,0.03,5,0.15,1007,1848.0
Venus II V2,2,0.22,0.13,0.05,2,0.1,1470,1500.0
Pieland,1,0.11,0.02,0.05,2,0.1,1622,8309.0
Marfa Marks,3,0.32,4.17,5.0,3,15.0,69,72.0
Tiny Turtle,3,0.32,1.33,0.1,4,0.4,166,300.0
Color Magic Planets by Bård Ionson,9,0.97,4.69,0.2,12,2.4000000000000004,179,256.0
The Modz,2,0.22,0.04,0.04,2,0.08,2532,5555.0
this is a test rr,1,0.11,100.0,0.0,1,0.0,1,1.0
"""Photoshop iterations""",1,0.11,16.67,0.8,1,0.8,3,6.0
KINGS OF LEON x YELLOWHEART,2,0.22,8.0,0.1,2,0.2,382,25.0
IMPERMANENCE.,2,0.22,200.0,0.03,10,0.3,120,5.0
ETH Walkers,6,0.65,0.3,0.01,11,0.11,1251,3720.0
PMC - Collaborations,2,0.22,200.0,0.01,2,0.02,407,1.0
The Other Avatars by Saatchi Art,18,1.94,1.35,0.02,34,0.68,1319,2523.0
//CWS. x Michelle Thompson,3,0.32,100.0,0.03,3,0.09,138,3.0
Token Garden,10,1.08,1.68,0.1,10,1.0,593,595.0
Universe In A Cube. Packs,1,0.11,0.14,0.03,1,0.03,254,700.0
