name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Kawaii Skull,3,0.32,1.15,0.01,115,1.1500000000000001,4111,10023.0
Steve Aoki,4,0.43,0.27,0.11,8,0.88,967,2942.0
SUPERPLASTIC: Cryptojankyz,31,3.33,0.53,0.1,73,7.300000000000001,5834,13868.0
No Ape In The Wild,1,0.11,33.33,0.69,1,0.69,97,3.0
Cool Cats NFT,65,6.99,1.63,6.9,162,1117.8,5507,9941.0
Blitmap,14,1.51,1.35,7.2,23,165.6,618,1700.0
RTFKT x JeffStaple,8,0.86,1.62,3.9,13,50.699999999999996,493,802.0
RTFKT BONUS ITEMS,6,0.65,33.33,1.57,8,12.56,369,24.0
Bored Ape Yacht Club,95,10.22,2.69,145.0,269,39005.0,6378,9999.0
The Meta Key,25,2.69,1250.0,0.21,50,10.5,6082,4.0
NFT in Japanese,1,0.11,100.0,1.0,1,1.0,1,1.0
RTFKT Capsule  Space Drip 1.2,5,0.54,2.01,12.0,7,84.0,208,348.0
RTFKT Capsule  Space Drip,3,0.32,3.29,13.0,5,65.0,104,152.0
FEWOCiOUS x RTFKT,15,1.61,2.42,2.99,22,65.78,522,909.0
Wonder: Shawn Mendes x Genies,2,0.22,71.43,0.22,5,1.1,277,7.0
Cryptobeanz,2,0.22,4.71,2.25,4,9.0,51,85.0
Foundation (FND),86,9.25,0.57,0.04,663,26.52,17649,116336.0
The Sandbox,47,5.05,0.71,1.66,773,1283.1799999999998,20474,108438.0
ENS: Ethereum Name Service,362,38.92,0.12,0.0049,916,4.4883999999999995,330416,767993.0
Misfits Ape Society D,51,5.48,80.95,0.9,51,45.9,3003,63.0
podGANs by Pindar Van Arman,50,5.38,13.28,0.55,136,74.80000000000001,665,1024.0
Gutter Punks Flyer - BAYC,93,10.0,2.62,0.08,262,20.96,6373,9999.0
Grails by PROOF Collective,450,48.39,65.25,3.0,676,2028.0,649,1036.0
Emotes by Heart You,402,43.23,37.33,0.93,535,497.55,1094,1433.0
HUXLEY Robots,9,0.97,1.6,4.4,16,70.4,543,1000.0
Monaco Planet Yacht,11,1.18,0.21,0.02,21,0.42,4799,9999.0
Refractions,97,10.43,1300.0,0.03,117,3.51,6443,9.0
Damien Hirst - The Currency,36,3.87,2.09,3.29,48,157.92000000000002,1795,2297.0
Pudgy Penguins,30,3.23,0.56,1.98,50,99.0,4360,8888.0
CryptoPhunks,4,0.43,0.09,0.25,9,2.25,2791,9999.0
CryptoArte,64,6.88,1.6,0.11,158,17.38,3501,9894.0
The Misfits Ape Society Col,825,88.71,1375.0,0.22,825,181.5,4005,60.0
RTFKT X NIKE MONOLITH,35,3.76,3500.0,4.29,35,150.15,4059,1.0
RTFKT SKIN VIAL: EVO X,28,3.01,1.47,0.93,96,89.28,3457,6516.0
RTFKT x Nike Dunk Genesis CRYPTOKICKS,34,3.66,1.48,2.68,111,297.48,4115,7482.0
Refraction Season 0 Founding Artists Collection,10,1.08,1000.0,0.03,70,2.1,274,7.0
🎵 Fake Feelings by Dadabots x Silverstein,31,3.33,13.4,0.02,134,2.68,565,1000.0
Bridges by Oshi,10,1.08,4.47,0.06,39,2.34,345,872.0
Refraction Season 0 Lanyard,10,1.08,1000.0,0.17,10,1.7000000000000002,270,1.0
tubby cats by tubby collective,27,2.9,0.47,0.25,94,23.5,9300,20000.0
RTFKT PodX,73,7.85,7300.0,0.69,73,50.37,9194,1.0
PotatoPunks,5,0.54,1.3,0.0,72,0.0,1376,5555.0
WGMI Premium Membership,88,9.46,2.96,0.34,122,41.480000000000004,3759,4123.0
Ocarinas,10,1.08,7.44,0.1,121,12.100000000000001,493,1626.0
When you buy this video the price goes up.,1,0.11,3.03,0.0,1,0.0,29,33.0
ZORBS by ZORA,41,4.41,0.3,0.01,168,1.68,33118,56741.0
Terraforms by Mathcastles,56,6.02,3.9,0.39,386,150.54,2303,9909.0
CLONE X - X TAKASHI MURAKAMI,81,8.71,1.56,18.0,300,5400.0,8967,19228.0
autoRAD by sgt_slaughtermelon & Tartaria Archivist,9,0.97,1.2,0.06,12,0.72,620,1000.0
Flamingo Flutter,70,7.53,8.32,0.18,135,24.3,864,1622.0
Crypto Citizens,29,3.12,1.56,0.8,61,48.800000000000004,1814,3899.0
