name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Evil Elves Club,3,0.32,0.36,0.0,7,0.0,705,1927.0
The Tensecondjulius Moods Collection,2,0.21,1.32,0.04,2,0.08,72,152.0
Swimmy Sharks,4,0.43,4.27,0.07,117,8.190000000000001,359,2742.0
Doggo Art,1,0.11,4.55,0.05,1,0.05,2,22.0
earth error,1,0.11,7.69,0.02,1,0.02,5,13.0
Punk Crushers,1,0.11,1.04,0.02,1,0.02,26,96.0
Judyjud040284 Collection,1,0.11,14.29,0.01,1,0.01,2,7.0
Sell Your Soul,1,0.11,3.03,0.05,1,0.05,6,33.0
BROBOTS Legends,1,0.11,6.25,0.0,1,0.0,11,16.0
cryptopunks cowboys,1,0.11,0.14,0.0,1,0.0,142,704.0
PixelatedPortraits,1,0.11,100.0,0.0,1,0.0,1,1.0
MagicMarbles,1,0.11,1.82,0.0,1,0.0,28,55.0
Shadow Legion,1,0.11,0.13,0.0,1,0.0,348,793.0
Wednesday Dudes,1,0.11,0.87,0.02,1,0.02,63,115.0
Celebrities Punks,1,0.11,1.49,0.0284,2,0.0568,407,134.0
Free Art World,1,0.11,4.0,0.05,2,0.1,23,50.0
Planet Line,1,0.11,0.13,0.05,1,0.05,12,750.0
Alien Samurai Dino Warriors,1,0.11,8.7,0.02,2,0.04,549,23.0
Smoke and Spaceout by JaSha,1,0.11,33.33,0.0001,1,0.0001,2,3.0
For the Love of Line,1,0.11,4.35,0.06,3,0.18,113,69.0
Bold and Brash Club,4,0.43,7.57,0.01,198,1.98,529,2616.0
Illumimettis,1,0.11,9.09,0.0,1,0.0,9,11.0
CovidPassPunks,1,0.11,0.9,2.3,1,2.3,48,111.0
UnDeadz Official,1,0.11,0.1,0.01,1,0.01,535,1010.0
"""Crypto Packaged"" GOODS - Genesis Passes",12,1.28,109.09,18.5,12,222.0,311,11.0
Art of the Himalayas,1,0.11,4.76,0.03,1,0.03,30,21.0
AI Fountain - Curated Remix,1,0.11,2.33,0.14,1,0.14,22,43.0
psychorockboy Collection,1,0.11,100.0,0.0001,1,0.0001,1,1.0
ACKek,1,0.11,16.67,12.0,1,12.0,6,6.0
Lofi Kitties,3,0.32,0.17,0.0,17,0.0,2842,9999.0
kingP/XELpush - Another Day in L.A Editions,1,0.11,100.0,0.05,2,0.1,10,2.0
AmeegosOfficialNFT,1,0.11,0.15,0.01,2,0.02,554,1356.0
Janky Blocks,1,0.11,5.0,0.019,1,0.019,4,20.0
EtherGals,1,0.11,0.02,0.01,1,0.01,2318,5536.0
Art Spectrum,1,0.11,0.99,0.022,1,0.022,2,101.0
All the random things in the world,1,0.11,33.33,0.2,1,0.2,2,3.0
The WynLambo,3,0.32,0.24,0.02,24,0.48,2751,9999.0
CITIZEN CODES,1,0.11,1.22,0.07,1,0.07,72,82.0
DeeKay,3,0.32,150.0,1.1,3,3.3000000000000003,70,2.0
OGCards,2,0.21,0.61,0.01,2,0.02,268,329.0
A Cluster Of Stars Collector Editions,1,0.11,40.0,0.0,2,0.0,13,5.0
Blue Waffle Collection,2,0.21,0.4,0.01,2,0.02,9,500.0
The United Inmates of America,2,0.21,4.0,0.12,2,0.24,3,50.0
Absolut Paradiso,1,0.11,2.44,0.02,1,0.02,5,41.0
GirlsGoneCryptoNFT,1,0.11,1.35,0.15,1,0.15,23,74.0
Cancelled by Church,1,0.11,0.93,0.04,1,0.04,7,107.0
-Folders- Collection,1,0.11,2.04,0.0,2,0.0,5,98.0
BlockFunks,1,0.11,1.0,4.0,1,4.0,12,100.0
Wormhole Bridged Solana-NFT,1,0.11,4.76,1.25,11,13.75,164,231.0
Eccentros Collection,1,0.11,14.29,0.0,1,0.0,2,7.0
MMillion Rap 'Jacuzzi on da Moon',1,0.11,50.0,0.006,1,0.006,22,2.0
CryptoDog Altcoins,1,0.11,1.0,0.15,1,0.15,2,100.0
One Day Moon Way,5,0.54,0.1,0.004,10,0.04,3269,10000.0
The Worm NFT,5,0.54,0.69,0.14,5,0.7000000000000001,724,724.0
Mini Mutants,1,0.11,0.01,0.0,1,0.0,1123,10000.0
Nothing Face,1,0.11,1.01,0.03,1,0.03,16,99.0
#NirvanaCrow,1,0.11,5.26,0.04,1,0.04,10,19.0
Blue Dinosaurs,1,0.11,1.49,0.1,1,0.1,8,67.0
3D Chrome Punks by PSYCHDRE,1,0.11,0.09,0.01,1,0.01,442,1111.0
The GANS Collective - Varieta Curated,1,0.11,0.41,0.08,1,0.08,128,245.0
MultiNFT,2,0.21,0.5,0.04,2,0.08,158,400.0
Color Owners,1,0.11,0.12,0.1,1,0.1,17,852.0
Crooked Palm Trees,1,0.11,0.03,0.0,1,0.0,852,3333.0
Sketcha,2,0.21,12.39,0.24,14,3.36,113,113.0
BeBes,1,0.11,0.51,0.0069,1,0.0069,19,196.0
The Goobers,2,0.21,0.03,0.08,4,0.32,4608,14559.0
mETHane Farts,1,0.11,10.0,0.02,1,0.02,7,10.0
Skyz Window,1,0.11,2.44,0.5,1,0.5,2,41.0
Passion Pandas Club,1,0.11,2.0,0.0005,1,0.0005,8,50.0
Actors Punks,1,0.11,0.36,0.035,1,0.035,572,280.0
Project Human ($ETH),1,0.11,100.0,0.0,1,0.0,1,1.0
BUTTHEADS,2,0.21,0.05,0.0,4,0.0,2766,8888.0
Pwned Passwords,1,0.11,6.67,0.0,1,0.0,7,15.0
SpaceBlocks,1,0.11,10.0,0.05,1,0.05,6,10.0
Cubic Pixel Spaghetti,1,0.11,50.0,0.001,1,0.001,2,2.0
Kind Lion - Lily Wren,1,0.11,20.0,0.5,1,0.5,13,5.0
Minotaurs NFT,1,0.11,0.95,0.03,1,0.03,4,105.0
The Life Cycle,1,0.11,2.5,0.03,1,0.03,4,40.0
The Soldiers Of The Metaverse,3,0.32,0.12,0.01,9,0.09,2553,7500.0
CRiLLiANT by NFTseller2016,1,0.11,0.01,0.01,1,0.01,13,6785.0
Genesis Blocks Art,2,0.21,0.2,0.04,5,0.2,1191,2500.0
Time It,2,0.21,0.57,0.01,2,0.02,184,350.0
IMAGINARY AKKI,1,0.11,1.74,0.3,2,0.6,70,115.0
Many Mediums,1,0.11,20.0,0.005,1,0.005,5,5.0
Cryptonian Faces,1,0.11,1.96,0.02,1,0.02,9,51.0
CosmoFlowers,1,0.11,0.15,0.0,1,0.0,7,667.0
GasWarriors Clones,2,0.21,0.35,0.0,31,0.0,981,8788.0
Burning Boys Club,1,0.11,2.78,0.03,1,0.03,2,36.0
ETH Nobbels,1,0.11,10.0,0.0,1,0.0,2,10.0
Angry Boars,1,0.11,0.01,0.02,1,0.02,3501,10000.0
psycho eyes by mva,1,0.11,11.11,0.01,1,0.01,3,9.0
88 Universe,1,0.11,6.67,0.005,1,0.005,10,15.0
psychobirds,1,0.11,20.0,0.05,1,0.05,4,5.0
One Day Hype Train,2,0.21,0.06,0.0,6,0.0,2171,10000.0
Degen Gang,1,0.11,0.01,0.02,1,0.02,2059,7000.0
Scamart Collection,1,0.11,12.5,0.35,1,0.35,5,8.0
NEONFLUFS Official,1,0.11,0.67,0.08,1,0.08,48,150.0
Pythagorean Masks,4,0.43,0.3,0.0,15,0.0,1231,5042.0
CopySquirrels,1,0.11,0.0,0.0005,1,0.0005,11,22073.0
Galaxy-Eggs,8,0.86,0.18,0.09,18,1.6199999999999999,4810,9999.0
Abstract emotions by QuetzalGelo,1,0.11,2.44,0.05,1,0.05,13,41.0
WorkingDogs,1,0.11,0.71,0.05,1,0.05,71,141.0
tiny Demons Club,3,0.32,0.03,0.05,3,0.15000000000000002,45,10005.0
AmmA Shrooms,1,0.11,8.33,0.042,1,0.042,170,12.0
Invaders NFT,2,0.21,0.63,0.01,55,0.55,1010,8663.0
Secret Ape Club,3,0.32,1.97,0.02,11,0.22,267,559.0
PxlDiamonds,1,0.11,11.11,0.0,1,0.0,4,9.0
The unregular family,1,0.11,35.29,0.4,6,2.4000000000000004,51,17.0
Bonus Content (Unencrypted Team),1,0.11,7.14,0.0,1,0.0,12,14.0
d_n-art Collection,1,0.11,2.63,0.0,1,0.0,2,38.0
Weed Feed,1,0.11,0.97,0.03,1,0.03,5,103.0
Rogue Jellies Candy Club,1,0.11,0.4,0.02,1,0.02,3,250.0
LOLPunks,1,0.11,0.79,0.02,1,0.02,42,127.0
Apes Run The World,2,0.21,0.13,0.0,7,0.0,975,5555.0
DivineOpus9 Collection,1,0.11,14.29,0.22,1,0.22,2,7.0
ARC Robots,2,0.21,12.0,3.0,6,18.0,27,50.0
AAGNFT Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Chic-A-Dees,2,0.21,0.43,0.0,3,0.0,178,705.0
The Bear Amazing Collection,1,0.11,9.09,0.01,1,0.01,2,11.0
"The Periodic Table of the Elements, in Pictures",1,0.11,1.01,0.01,1,0.01,7,99.0
Scamart SKulls,1,0.11,10.0,0.15,5,0.75,34,50.0
Asia Metropolis,1,0.11,0.34,0.0,30,0.0,1001,8888.0
BeBullish,1,0.11,1.23,0.0,1,0.0,2,81.0
Cruddy Clown Club,2,0.21,20.0,0.03,4,0.12,42,20.0
The Lost Wallets of Gwei Island [by NFTxTgames],1,0.11,5.56,0.0111,1,0.0111,6,18.0
Flowtys,7,0.75,0.16,0.02,16,0.32,3761,10000.0
Dwarfs Alt World (DAW),1,0.11,0.39,0.02,4,0.08,469,1024.0
Lost Factory boy,1,0.11,20.0,0.0,1,0.0,2,5.0
Long Neckie Fellas,3,0.32,0.48,0.02,16,0.32,1407,3333.0
The n project,6,0.64,0.11,0.09,10,0.8999999999999999,1813,8888.0
Pirate Octopus,1,0.11,0.03,0.02,1,0.02,298,3143.0
GanAi by 6mo,1,0.11,2.0,0.5,1,0.5,2,50.0
L.G.L.Fs,1,0.11,5.56,0.0,1,0.0,2,18.0
L1QU1F1ED  Collection,1,0.11,1.27,0.0,1,0.0,5,79.0
Uncle Barry's Adventures,2,0.21,7.5,1.0,3,3.0,23,40.0
The Crypto Genius,1,0.11,1.11,0.1,1,0.1,42,90.0
Crypto Daddies,1,0.11,0.57,0.01,1,0.01,21,175.0
ApePunks Co.,2,0.21,1.97,0.03,12,0.36,285,610.0
Violently Cute: Kinako's Revenge,1,0.11,1.05,0.15,2,0.3,79,190.0
High Bunch Munch Station,1,0.11,9.52,1.0,2,2.0,12,21.0
Echox4 Chamber 1,1,0.11,33.33,0.0,1,0.0,2,3.0
Ethereans Official,3,0.32,0.23,0.03,25,0.75,2682,11000.0
Ice Cream Shades,1,0.11,0.51,0.03,1,0.03,61,195.0
cyano.true curated,1,0.11,7.14,0.02,1,0.02,4,14.0
Bill Stories,1,0.11,1.75,0.005,1,0.005,7,57.0
Paint83 Collection #1,1,0.11,4.35,0.0,1,0.0,4,23.0
OFFICIAL POSTHUMANS,1,0.11,0.99,0.01,1,0.01,5,101.0
Ether Pillz Genesis Collection (V1),1,0.11,0.15,0.02,1,0.02,72,670.0
PixMons,3,0.32,0.98,0.01,5,0.05,166,512.0
Fading Faces,1,0.11,0.81,0.001,1,0.001,3,123.0
Cryptorastas Collection,5,0.54,0.11,0.03,11,0.32999999999999996,3643,10419.0
CTEROID PUNKS,1,0.11,0.21,0.03,1,0.03,20,475.0
BY GALANACCI,1,0.11,10.0,0.08,1,0.08,3,10.0
NextPunks,1,0.11,0.22,0.001,1,0.001,59,457.0
Ujon's Noodle,1,0.11,2.78,0.03,5,0.15,59,180.0
NFTITTIES Official,1,0.11,4.0,0.05,1,0.05,18,25.0
Rare Stars Around Us,1,0.11,4.76,0.01,1,0.01,12,21.0
Fast Food Frens Collection,2,0.21,0.04,0.03,2,0.06,1839,5541.0
GEN.ART Membership,30,3.21,0.73,0.14,37,5.180000000000001,2367,5100.0
LA 2020 Venice Beach Skatepark,1,0.11,10.0,0.69,1,0.69,18,10.0
CryptoCatsAgency,1,0.11,3.33,0.05,1,0.05,3,30.0
EtherRock Punks,1,0.11,1.0,0.02,1,0.02,40,100.0
SneakerKult x NikeInc - GENESIS COLLECTION,1,0.11,2.56,0.3,1,0.3,5,39.0
TRLab,2,0.21,4.0,6.27,4,25.08,97,100.0
Honorary Freaks Club,1,0.11,8.33,69.0,1,69.0,11,12.0
WATCH FLEX,1,0.11,4.0,0.1,1,0.1,5,25.0
AlienPunks NFT,3,0.32,0.95,0.01,18,0.18,780,1898.0
CryptoDemonzV1,1,0.11,0.07,0.04,5,0.2,1553,6967.0
Pixla Bots,1,0.11,0.39,0.1,1,0.1,52,255.0
Ganja Token AR - GrhXEpB4Ld,1,0.11,100.0,0.0,1,0.0,6,1.0
CyberPunX NFT,1,0.11,0.1,0.03,1,0.03,80,1000.0
Amber Vittoria's Alphabet Collection,1,0.11,0.77,0.27,2,0.54,153,260.0
Cubeverse,2,0.21,0.06,0.01,2,0.02,1492,3333.0
Zal4DW-Art,1,0.11,50.0,0.0,1,0.0,2,2.0
The Bushy Tail Bunch,1,0.11,2.94,0.12,1,0.12,12,34.0
Gift Cat,1,0.11,4.0,0.0,1,0.0,23,25.0
"""A NEW DAWN"" IOTA Collection",1,0.11,1.01,0.005,1,0.005,25,99.0
MoonShotBots V3,4,0.43,1.97,1.9,4,7.6,158,203.0
Cuvertura,1,0.11,0.45,0.03,2,0.06,148,444.0
CyberPunkA12,2,0.21,0.21,0.01,7,0.07,826,3367.0
Degenerated High Flyers,3,0.32,0.1,0.0,7,0.0,1093,6969.0
Anyone Glows,1,0.11,1.11,0.03,1,0.03,11,90.0
Ape Paradigm,1,0.11,0.1,0.02,1,0.02,66,1000.0
memories of lost worlds,1,0.11,20.0,0.0,1,0.0,2,5.0
Platy Punks - Official,1,0.11,0.03,0.0,1,0.0,1058,3061.0
FFERRA Collection,1,0.11,6.67,0.01,1,0.01,35,15.0
DeFi Pizza,1,0.11,2.17,0.15,1,0.15,26,46.0
POP DERIVATIVE COLLECTION,1,0.11,10.0,0.0001,1,0.0001,5,10.0
USAGIS,1,0.11,0.9,0.48,1,0.48,80,111.0
NFT Astro,1,0.11,100.0,0.07,1,0.07,4,1.0
Crypto Plebes,1,0.11,0.25,0.08,1,0.08,193,407.0
ArcadeNFT,12,1.28,0.25,0.02,15,0.3,3167,6076.0
Latent Spaces,1,0.11,0.5,0.05,1,0.05,106,200.0
3D Crypto Doge!,1,0.11,50.0,1.0,1,1.0,2,2.0
Honorary Strangers Club,1,0.11,25.0,0.0,1,0.0,3,4.0
A Cluster of Stars,1,0.11,6.25,1.5,1,1.5,13,16.0
Potato Power Club,3,0.32,0.07,0.0,3,0.0,1140,4329.0
Juiceboxes,4,0.43,0.38,0.01,16,0.16,1566,4255.0
Cucryle Part I,1,0.11,0.36,0.0,1,0.0,2,278.0
#Chemical lab,1,0.11,0.85,0.01,1,0.01,6,118.0
Visual Meta Infinity,1,0.11,0.01,0.03,1,0.03,171,10000.0
Lovely Vinos,1,0.11,0.33,0.02,1,0.02,112,307.0
Broken Thread X Dangiuz - Private Collection,1,0.11,50.0,0.0,3,0.0,2,6.0
Ruben Big Q,2,0.21,12.5,0.06,4,0.24,109,32.0
CanadianPunks,1,0.11,4.0,0.01,1,0.01,8,25.0
LOD,1,0.11,9.09,0.1,2,0.2,2,22.0
Lord Ganesh Art,1,0.11,20.0,0.0,1,0.0,6,5.0
Supply is limited,1,0.11,20.0,0.0,1,0.0,2,5.0
Cute Pig Club,3,0.32,0.15,0.0,15,0.0,2160,10000.0
Balance in Nature - Conservation of Wildlife,2,0.21,4.0,0.12,2,0.24,29,50.0
Political Punks,2,0.21,0.4,0.08,2,0.16,268,495.0
Boobcasso,2,0.21,2.6,0.03,2,0.06,29,77.0
Crymonds,1,0.11,1.02,0.01,1,0.01,50,98.0
The Collector Chronicles,5,0.54,53.85,0.01,7,0.07,514,13.0
Tom Sachs: Rocket Factory - Components,6,0.64,3.25,1.18,18,21.24,204,553.0
Rebel Bots,7,0.75,0.39,0.23,39,8.97,3442,10000.0
COVIDPunks!,4,0.43,0.09,0.01,9,0.09,3849,10000.0
SpaceShibes,1,0.11,0.05,0.02,1,0.02,379,2200.0
Dope Shibas,5,0.54,0.77,0.01,76,0.76,4038,9899.0
CryptoDickbutts,18,1.93,1.13,0.75,59,44.25,1667,5200.0
DogeHeadz,1,0.11,0.24,0.099,1,0.099,12,420.0
Visithra,2,0.21,3.59,0.1,6,0.6000000000000001,224,167.0
Ugly Cuties Art Club (UCAC),2,0.21,0.02,0.01,2,0.02,174,9980.0
DIGITAL BASKETBALLS,1,0.11,3.12,0.05,1,0.05,21,32.0
Honorary Chibis,1,0.11,16.67,0.0,1,0.0,6,6.0
High Club,2,0.21,5.81,0.0,71,0.0,350,1222.0
/nftfilmsociety/,1,0.11,0.99,0.04,1,0.04,58,101.0
Dooodle,1,0.11,0.49,0.05,1,0.05,75,206.0
Lonely Alien Space Club,5,0.54,0.05,0.02,5,0.1,4023,10001.0
MemeCalfNFT,8,0.86,0.67,0.25,8,2.0,335,1194.0
SOLO collection,1,0.11,7.69,0.1,1,0.1,29,13.0
Jake's World Editions,16,1.71,250.0,0.68,35,23.8,295,14.0
I live across the road from the future,1,0.11,0.28,0.03,1,0.03,74,351.0
Animal world*,1,0.11,2.78,0.15,1,0.15,30,36.0
Acme Art 974,1,0.11,3.03,1.0,1,1.0,2,33.0
Krakenships,1,0.11,2.38,0.1,1,0.1,35,42.0
overonehundred,1,0.11,0.23,0.0,1,0.0,36,432.0
Collage And Glory,1,0.11,1.52,0.07,1,0.07,30,66.0
Crypto Duckies,5,0.54,0.12,0.04,6,0.24,1711,4998.0
Classical Hypebeast World by SaintMG,1,0.11,4.0,0.14,1,0.14,20,25.0
TELOS,1,0.11,9.09,0.0,1,0.0,10,11.0
Color Circles,1,0.11,0.8,0.65,8,5.2,14,1000.0
LeGCHart Unique IFCZ COMIC CAT collection,1,0.11,20.0,0.0,1,0.0,3,5.0
Dwarf Coins,1,0.11,4.55,0.0,1,0.0,160,22.0
The Pepemon Collection,1,0.11,0.34,0.02,1,0.02,50,296.0
Deck of Playing Cards,2,0.21,3.77,0.35,2,0.7,10,53.0
Gremplin,3,0.32,15.79,50.0,3,150.0,19,19.0
THE STICKMAN SERIES,1,0.11,1.04,0.5,1,0.5,16,96.0
NyanDogg,3,0.32,2.36,0.5,5,2.5,102,212.0
DestroyEvil Pesticide Flowers,2,0.21,28.57,0.0,2,0.0,21,7.0
Papi Scores,1,0.11,8.33,0.01,1,0.01,21,12.0
Destroyevil.com  Shit World,1,0.11,33.33,0.0,1,0.0,3,3.0
Civilization under my shoe sole,1,0.11,10.0,0.3,1,0.3,2,10.0
Women by Yam - Females in the spotlight,1,0.11,20.0,120.0,2,240.0,7,10.0
Window Of Time,1,0.11,6.67,0.5,1,0.5,3,15.0
Rocket Fuel V2,1,0.11,33.33,1.0,1,1.0,65,3.0
Outer Hippoz,1,0.11,1.67,0.05,1,0.05,7,60.0
Amulets V4,5,0.54,0.67,0.05,10,0.5,350,1502.0
Samba Crypto AI,1,0.11,0.01,0.0306,1,0.0306,40,10134.0
Wheres my mind - Trash Art,1,0.11,2.38,0.3,1,0.3,30,42.0
60 Nipseys,1,0.11,12.5,50.0,1,50.0,8,8.0
Not Another NFT,1,0.11,6.67,0.01,1,0.01,3,15.0
Immortal Mirologists,1,0.11,0.4,0.01,1,0.01,73,253.0
Brenon.jpg 1/1,1,0.11,11.11,0.02,1,0.02,6,9.0
JPEG ArT,1,0.11,1.79,0.0,1,0.0,3,56.0
Crypto Pixel Pepe,2,0.21,0.25,0.02,2,0.04,180,802.0
Calexo,1,0.11,25.0,0.025,1,0.025,2,4.0
Pixel Abstract Expressionsims,1,0.11,11.11,1.0,1,1.0,12,9.0
Cryptohamsters Official,1,0.11,0.02,0.02,1,0.02,634,5150.0
NFT Tower. Apartments for sale. Towerverse,1,0.11,0.1,0.05,1,0.05,67,984.0
Hip Hop Cards,1,0.11,3.33,0.51,1,0.51,37,30.0
Tropical Garden,1,0.11,11.11,29.0,1,29.0,8,9.0
BTC DRIP Collection,1,0.11,14.29,3.0,1,3.0,6,7.0
DuckDAO Hunters,1,0.11,1.89,0.06,1,0.06,621,53.0
Bryan Brinkman,3,0.32,0.71,0.6,3,1.7999999999999998,89,424.0
CryptoCubes,8,0.86,6.69,7.99,17,135.83,147,254.0
DiGiTAL Collectibles,1,0.11,2.56,3.0,1,3.0,25,39.0
Tonya,1,0.11,0.1,0.01,1,0.01,162,984.0
Zora,15,1.61,0.28,0.0,43,0.0,10807,15298.0
WORD,2,0.21,0.02,0.0,3,0.0,911,19661.0
EtherIslands,1,0.11,1.85,0.07,1,0.07,19,54.0
DigitalArtCollective,1,0.11,0.47,0.24,1,0.24,61,214.0
Digital Objects Artwork,2,0.21,2.6,90.0,4,360.0,77,154.0
Hero's Legend,17,1.82,1.7,0.0,17,0.0,1002,1001.0
EtherKois,2,0.21,2.04,0.01,5,0.05,63,245.0
Goofball Gang,3,0.32,0.13,0.04,7,0.28,2053,5472.0
Bankless Locations,1,0.11,25.0,0.05,1,0.05,349,4.0
KINGS OF LEON x YELLOWHEART NFTS,8,0.86,0.15,0.03,10,0.3,4973,6479.0
Howie Doin,1,0.11,8.33,0.0,1,0.0,8,12.0
Imastar,1,0.11,50.0,0.0,1,0.0,6,2.0
ETH-MEN Legacy,1,0.11,14.29,0.09,2,0.18,256,14.0
baron lanteigne,1,0.11,50.0,0.5,1,0.5,11,2.0
Cargo,1,0.11,0.31,0.1,1,0.1,202,327.0
100 Avatar Cards Round 2,1,0.11,1.0,2.3,1,2.3,99,100.0
Happy Birthday Manan,1,0.11,100.0,0.0,1,0.0,1,1.0
DeGheyn Vanitas Marilyn BTC,1,0.11,1.96,0.0,1,0.0,2,51.0
Imac - Pepe,1,0.11,16.67,0.0,1,0.0,3,6.0
Cryptovoxels Names,7,0.75,0.07,0.03,7,0.21,2599,9486.0
MegaCryptoPolis,11,1.18,0.02,0.0,14,0.0,23518,63742.0
ETH TOWN,3,0.32,0.04,0.01,5,0.05,4164,11487.0
Flowerpatch,5,0.54,0.0,0.0,5,0.0,12230,119856.0
Brevin Kim,1,0.11,14.29,0.0,1,0.0,7,7.0
10K Project,3,0.32,150.0,0.19,3,0.5700000000000001,960,2.0
WVRPS Honoraries,1,0.11,33.33,0.0,1,0.0,3,3.0
G.A.S. Trading Cards + Superchief Gallery NFT,1,0.11,100.0,0.055,1,0.055,142,1.0
Sunday Journal - Secret Garden Bouquet,3,0.32,0.3,0.14,3,0.42000000000000004,775,1000.0
The Cool by LFT,1,0.11,0.18,0.2,1,0.2,200,558.0
0xmoments by 0xmusic,4,0.43,183.33,0.04,11,0.44,213,6.0
AdWorld Titans,1,0.11,8.33,0.0,1,0.0,12,12.0
Rich imma,1,0.11,0.86,1.4,1,1.4,116,116.0
0xmusic,5,0.54,3.99,0.15,31,4.6499999999999995,408,777.0
Rave Pigs,2,0.21,0.08,0.01,5,0.05,2741,6655.0
FOMO MOFOS,11,1.18,0.32,0.1,26,2.6,4254,8005.0
SuperSF,2,0.21,1.33,0.12,2,0.24,78,150.0
HPPRS Collection,5,0.54,0.13,0.05,10,0.5,2905,7447.0
OmniFusion,2,0.21,0.22,0.03,2,0.06,454,912.0
Keep Watch Crew,3,0.32,0.32,0.02,4,0.08,685,1269.0
The Charming Pom,1,0.11,1.0,0.0,1,0.0,6,100.0
Generative Dungeon,6,0.64,0.3,0.25,9,2.25,1172,3000.0
OmniTotems,2,0.21,0.16,0.0,5,0.0,862,3090.0
the littles NFT,9,0.96,0.25,0.17,25,4.25,5428,10000.0
Zodiac Capsules,10,1.07,0.87,0.18,82,14.76,1775,9386.0
Oh My Gourd,2,0.21,1.8,0.01,2,0.02,98,111.0
vinylkey Demonstration 1,1,0.11,2.04,0.0,1,0.0,7,49.0
BoringStone Genesis Collection,4,0.43,0.15,0.01,15,0.15,3039,10000.0
The Cryminals OG,1,0.11,0.06,0.0,1,0.0,637,1600.0
Crypto Fingers Club,1,0.11,1.0,0.25,1,0.25,18,100.0
Bones Club Honorary Members,1,0.11,14.29,0.0,1,0.0,7,7.0
GenHall,3,0.32,0.15,0.01,4,0.04,759,2721.0
FACA Board of Advisors,1,0.11,2.56,0.15,1,0.15,35,39.0
The Cryptid Collective Official,1,0.11,0.22,0.03,2,0.06,344,912.0
ODH skulls,1,0.11,4.0,0.03,1,0.03,2,25.0
"""SNUG"" series",1,0.11,0.41,0.12,1,0.12,153,241.0
KANJOZOKU,1,0.11,5.0,0.15,1,0.15,5,20.0
Bit Sneakers 2.0,1,0.11,0.42,0.05,1,0.05,40,236.0
CryptoPhunks,6,0.64,0.11,0.55,11,6.050000000000001,2691,9999.0
Dreamloops,5,0.54,2.79,0.03,266,7.9799999999999995,1956,9520.0
Things I Made On Twitch,1,0.11,33.33,0.0,1,0.0,3,3.0
The ASCIIPunks,2,0.21,0.29,0.05,6,0.30000000000000004,811,2048.0
PixelPenguins NFT,1,0.11,0.99,0.69,1,0.69,72,101.0
Legends-X Collection,8,0.86,0.8,0.0,8,0.0,1002,1001.0
The Endings Book,2,0.21,24.14,1.0,7,7.0,23,29.0
The Art Mafia Family,1,0.11,100.0,0.14,2,0.28,101,2.0
RiseDAO First Season,3,0.32,12.77,0.0,6,0.0,7,47.0
nyc365 journey to the unexpected.,4,0.43,3.29,0.18,12,2.16,132,365.0
A6 Experiment,1,0.11,0.92,0.04,4,0.16,103,435.0
Rejection of reality V2,1,0.11,5.88,0.0,1,0.0,5,17.0
The Invisibles by Noun Cats,2,0.21,0.12,0.02,4,0.08,1352,3422.0
The Endings,2,0.21,8.33,0.0,2,0.0,19,24.0
Spatial Frequency by Malus Creations,4,0.43,1.1,0.01,11,0.11,689,999.0
sunilpatel Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Humans Of NFT,2,0.21,0.29,0.02,4,0.08,668,1390.0
Scoundrels by Kristy Glas,7,0.75,0.93,0.04,19,0.76,909,2048.0
PunksDed,3,0.32,2.79,0.15,25,3.75,226,896.0
MODE - Members Only Digital Ecosystem,1,0.11,1.37,0.0,1,0.0,67,73.0
OLD Migrated AAT,2,0.21,200.0,0.0,2,0.0,750,1.0
Oni Squad,3,0.32,1.23,0.01,82,0.8200000000000001,2479,6666.0
Headscapes,1,0.11,0.79,1.0,2,2.0,85,254.0
Void by Alexis André,7,0.75,1.8,0.38,9,3.42,220,500.0
AnimightiesJigScene,7,0.75,9.04,0.0,16,0.0,980,177.0
GEN.ART Airdrop Collection,21,2.25,0.55,0.0,45,0.0,2769,8125.0
Dadenza Genesis,1,0.11,10.0,0.15,1,0.15,4,10.0
We are Dorkis,3,0.32,0.32,0.02,15,0.3,1140,4721.0
Dot Matrix Gradient Study by Jake Rockland,5,0.54,2.22,0.16,12,1.92,366,540.0
SnarkySharkz Society,2,0.21,0.85,0.03,6,0.18,306,702.0
Phases Of The Moon Volume 1,1,0.11,3.57,0.38,1,0.38,27,28.0
Pulsar79,3,0.32,0.4,0.05,4,0.2,340,1005.0
DeNations Art Open Edition,12,1.28,1200.0,0.01,12,0.12,1048,1.0
Panda Golf Squad,1,0.11,0.06,0.0,2,0.0,1148,3220.0
SHIBAS WOW!,2,0.21,1.24,0.05,2,0.1,60,161.0
CryptoMorph,5,0.54,0.59,0.02,38,0.76,1104,6449.0
Su Squares,1,0.11,0.25,0.09,25,2.25,470,10000.0
Super Fat Apes,3,0.32,0.3,0.0,3,0.0,1002,1001.0
DinnerDAO San Francisco Season II Pass,1,0.11,25.0,0.0,1,0.0,4,4.0
Mountview  Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
The Junto Collection,1,0.11,100.0,0.0,2,0.0,1,2.0
The Verma Collection,1,0.11,100.0,0.0,1,0.0,1,1.0
Crash Test Joyride,7,0.75,0.52,0.04,23,0.92,2081,4444.0
